Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,9.21,1.224137931034483,1.76,49.15,49.09,37.73506964150347,5.9,0.24426,0.04897,4.14,0.83,1.9315214116032138,0.2185409756942925,0.04780873033981488
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.95,3.017241379310345,1.82,72.11,26.07,62.61003681057971,0.85,0.275655,0.06477000000000001,32.43,7.620000000000002,0.6151856390902334,0.2434597721888216,0.06275881339682783
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,6.23,5.258620689655173,5.62,74.08,20.3,79.03821577779952,589.1,292.1936,107.15729000000002,49.6,18.190000000000005,6.380292014063123,5.680833141670576,4.683586556507388
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,6.41,2.793103448275863,5.54,77.26,17.2,79.31203113494239,1937.9,1093.16939,432.15170000000006,56.41,22.300000000000004,7.569876080936959,6.997750806462332,6.071088013065837
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.8,0.6896551724137931,4.5,38.7,56.75,35.1033537351215,0.35,0.045535,0.02093,13.01,5.98,0.3001045924503381,0.04452871613157176,0.020713976597104496
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.8,0.8965517241379312,14.6,70.9,14.4,53.51080767433657,0.43,0.207045,0.028466,48.150000000000006,6.620000000000001,0.35767444427181594,0.1881752239390599,0.028068371713212335
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.01,3.879310344827586,5.6,42.9,51.4,33.67733050675586,0.78,0.07566,0.074178,9.700000000000001,9.51,0.5766133643039938,0.07293442667566075,0.0715557179220212
5.0,污染场地土壤重金属的生物可给性及毒性研究,Industrial soils,SBRC,4.21,2.172413793103448,1.08,51.78,47.13,36.38659260945109,3.86,1.552878,0.603704,40.23,15.64,1.5810384379124023,0.9372213502001635,0.4723159537616038
5.0,污染场地土壤重金属的生物可给性及毒性研究,Industrial soils,SBRC,11.37,2.03448275862069,0.02,42.5,57.73,64.97549863946426,2.79,1.194399,0.64449,42.809999999999995,23.1,1.332366019094335,0.7859082049357206,0.4974303057528399
5.0,污染场地土壤重金属的生物可给性及毒性研究,Industrial soils,SBRC,4.28,2.396551724137931,1.19,73.01,25.8,78.04920736238334,7.96,1.276784,0.811124,16.04,10.19,2.192770226986839,0.8227639209218717,0.5939476470155918
5.0,污染场地土壤重金属的生物可给性及毒性研究,Industrial soils,SBRC,4.3,2.327586206896552,1.23,68.53,30.24,61.10933422193018,3.34,1.249828,0.723444,37.419999999999995,21.66,1.4678743481123135,0.8108537688498588,0.5443246144248577
5.0,污染场地土壤重金属的生物可给性及毒性研究,Industrial soils,SBRC,5.96,2.068965517241379,2.33,59.15,38.52,52.46005426434272,6.27,1.491006,0.867768,23.78,13.84,1.9837562915454279,0.9126866449483589,0.6247441350914232
6.0,淮北煤矿周边土壤重金属生物可给性及人体健康风险,Mining/smelting soils,PBET,8.09,12.1,9.031549017660444,59.3322826263716,30.50675767314198,47.55405615334812,0.16,0.070208,0.011712,43.88,7.32,0.1484200051182733,0.06785302210540096,0.011643945383046805
7.0,基于生物可给性的某冶炼厂土壤重金属健康风险评价,Industrial soils,PBET,9.55,131.0344827586207,8.1974831617839,59.29969519193202,30.74202402355408,76.984,691.0,294.7115,239.5697,42.65,34.67,6.539585955617669,5.689384316869875,5.483009860447986
7.0,基于生物可给性的某冶炼厂土壤重金属健康风险评价,Industrial soils,IVG,9.55,131.0344827586207,8.1974831617839,59.29969519193202,30.74202402355408,76.984,691.0,207.3,202.60119999999998,30.0,29.32,6.539585955617669,5.3389793482669266,5.316163178568625
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Industrial soils,PBET,5.5,1.9,22.8,27.2,50.0,36.36217252309483,0.16,0.08384,,52.4,,0.1484200051182733,0.08051029064726983,
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Industrial soils,PBET,6.1,1.4,14.5,22.7,62.8,35.88415051910618,0.3,0.1311,,43.7,,0.262364264467491,0.12319061055519832,
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Industrial soils,PBET,5.2,1.3,22.1,29.2,48.7,36.87167537492346,0.28,0.12544,,44.8,,0.2468600779315258,0.11817407030348058,
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Urban soils,PBET,6.5,1.0,22.6,29.4,48.0,36.32450030087262,0.11,0.06347,,57.7,,0.10436001532424277,0.061537146515569845,
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Urban soils,PBET,5.4,1.1,20.5,42.1,37.4,37.85805713843674,0.2,0.1216,,60.8,,0.18232155679395465,0.11475623729818858,
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Urban soils,PBET,6.4,1.1,19.0,28.5,52.5,36.25635390837623,0.26,0.14196,,54.6,,0.23111172096338664,0.13274608435068208,
8.0,"Effects of Soil Properties and Land Use Types on the Bioaccessibility of Cd, Pb, Cr, and Cu in Dongguan City, China",Urban soils,PBET,5.7,1.5,18.7,28.5,52.8,36.32637390837622,0.19,0.15485,,81.5,,0.17395330712343804,0.1439704654100312,
9.0,"Heavy metal bioaccessibility and health risks in the contaminated soil of an abandoned, small-scale lead and zinc mine",Mining/smelting soils,PBET,6.46,43.93103448275863,10.08,37.51,52.4,32.91,7.46,5.59,2.78,74.93297587131367,37.265415549597854,2.135349173618132,1.8855533485144158,1.3297240096314962
9.0,"Heavy metal bioaccessibility and health risks in the contaminated soil of an abandoned, small-scale lead and zinc mine",Mining/smelting soils,PBET,6.19,44.96551724137931,17.89,56.75,25.35,45.39,1.51,0.9699999999999999,0.7,64.23841059602648,46.35761589403973,0.9202827531436926,0.6780335427498971,0.5306282510621704
9.0,"Heavy metal bioaccessibility and health risks in the contaminated soil of an abandoned, small-scale lead and zinc mine",Mining/smelting soils,PBET,6.82,42.86206896551725,17.14,54.56,28.31,42.09,0.98,0.48,0.37,48.97959183673469,37.755102040816325,0.6830968447064438,0.3920420877760237,0.31481073984003355
10.0,"The spatial distribution, health risk, and cytotoxicity of metal(loid)s in contaminated field soils: The role of Cd in human gastric cells damage",Industrial soils,SBRC,5.79,23.74085248940812,14.63,46.98,38.33,65.360068926277,87.52,63.71455999999999,6.922832,72.8,7.91,4.483228515182849,4.1699862148293345,2.0697487176689346
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,7.54,7.5,14.1,56.29,29.61,32.67,9.92,9.73,1.2299999999999998,98.08467741935485,12.399193548387094,2.390595970316759,2.373043556642607,0.8020015854720273
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,8.48,5.8,18.05,75.87,6.08,30.31,0.34,0.08999999999999998,0.04,26.470588235294112,11.76470588235294,0.29266961396282,0.08617769624105233,0.039220713153281295
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,10.12,18.2,1.12,21.08,77.8,32.81,1.2,0.14,0.07,11.666666666666668,5.833333333333334,0.7884573603642702,0.13102826240640408,0.06765864847381481
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,7.79,17.8,15.26,55.94,28.8,28.42,0.32,0.05,0.05,15.625,15.625,0.2776317365982795,0.048790164169432,0.048790164169432
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,7.8,12.8,36.53,54.17,9.3,40.21,1.4,0.05000000000000001,0.05000000000000001,3.5714285714285725,3.5714285714285725,0.8754687373538999,0.04879016416943201,0.04879016416943201
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,7.9,22.7,36.71,57.3,5.99,41.52,1.56,0.07,0.04,4.487179487179487,2.564102564102564,0.9400072584914712,0.06765864847381481,0.039220713153281295
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,6.16,13.0,2.53,56.67,40.8,29.42,0.18,0.03,0.02,16.666666666666664,11.111111111111112,0.16551443847757338,0.0295588022415444,0.019802627296179712
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,8.0,9.3,35.16,59.2,5.63,39.55,3.82,0.04,0.029999999999999995,1.0471204188481675,0.7853403141361256,1.572773928062509,0.039220713153281295,0.029558802241544398
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,7.64,12.4,33.63,64.07,2.3,39.12,0.1,0.03,0.02,30.0,20.0,0.09531017980432487,0.0295588022415444,0.019802627296179712
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,5.16,56.3,10.14,27.55,62.3,50.22,0.1,0.08999999999999998,0.07,89.99999999999999,70.0,0.09531017980432487,0.08617769624105233,0.06765864847381481
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,6.97,9.1,19.14,45.76,35.1,50.33,84.61,36.86000000000001,21.82,43.564590473939255,25.788913839971634,4.449802098754394,3.633895145781177,3.1276373444339294
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,5.0,6.600000000000001,6.62,59.58,33.8,44.81,0.38,0.11,0.12,28.947368421052634,31.57894736842105,0.3220834991691133,0.10436001532424277,0.11332868530700317
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,7.83,6.899999999999999,8.75,34.45,56.8,150.1,233.0,134.86,56.81,57.87982832618026,24.38197424892704,5.455321115357702,4.911624943763156,4.057161771094385
11.0,Bioaccessibility and reliable human health risk assessment of heavy metals in typical abandoned industrial sites of southeastern China,Industrial soils,PBET,6.88,6.899999999999999,41.46,38.24,20.3,72.47,0.34,0.08999999999999998,0.02,26.470588235294112,5.88235294117647,0.29266961396282,0.08617769624105233,0.019802627296179712
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,4.52,3.793103448275863,45.9,51.8,2.33,38.2,2.16,1.742904,,80.69,,1.1505720275988207,1.0090172131658375,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,4.51,3.96551724137931,34.0,45.4,20.6,44.1,2.52,1.7136,,68.0,,1.2584609896100056,0.9982761666154469,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,4.97,11.55172413793104,53.5,41.5,5.03,57.5,0.41,0.157194,,38.34,,0.3435897043900769,0.1459981091772619,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,3.0,5.517241379310345,15.6,60.7,23.7,140.0,0.31,0.285262,,92.02,,0.27002713721306015,0.25096258861481147,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,7.02,125.8620689655173,16.5,52.0,31.6,29.1,6.05,3.744345,,61.89,,1.9530276168241774,1.556953382491338,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,7.66,16.37931034482759,37.0,57.8,5.18,86.5,7.15,4.64321,,64.94,,2.0980179272527715,1.7304530525423105,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,4.88,2.413793103448276,28.3,65.4,6.3,93.3,12.9,4.31118,,33.42,,2.631888840136646,1.669814032788369,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,7.68,2.931034482758621,29.5,66.5,4.01,120.0,53.5,3.2742,,6.12,,3.9982007016691985,1.4525969503739538,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,6.91,58.62068965517242,4.51,39.6,55.9,119.0,62.1,16.9533,,27.3,,4.144720769547168,2.8877739420481907,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,6.4,46.55172413793104,13.4,51.4,35.2,183.0,56.6,42.21794,,74.59,,4.053522567701846,3.766255686823891,
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,7.33,5.344827586206897,26.8,65.2,8.04,126.0,31.4,8.792,,28.0,,3.4781584227982836,2.2815657257699704,
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,2.8,11.03448275862069,13.1,57.91436613100141,30.78399233774303,134.3,3.0,2.754,1.9074,91.8,63.58,1.3862943611198906,1.3228219381643171,1.0672592110100874
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.8,21.72413793103448,13.4,58.39209357554218,30.44139069834734,104.1,9.59,3.37568,2.446409,35.2,25.51,2.359910159613315,1.4760619363032375,1.2373328193971354
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.5,38.44827586206897,2.91,57.81708244584225,33.4514248853799,51.1,11.1,5.8275,2.8982099999999997,52.5,26.11,2.4932054526026954,1.920958574365723,1.3605174734156553
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,8.3,78.44827586206897,7.64,58.4784743334071,31.34461783662383,25.1,13.6,11.4648,6.49808,84.3,47.78,2.681021528714291,2.522908671921008,2.0146469877686712
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,6.5,25.3448275862069,3.86,57.41474294962821,33.4514248853799,51.4,18.6,14.9916,5.92038,80.6,31.83,2.975529566236472,2.772063584379028,1.934470681416696
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,6.1,43.27586206896552,9.66,57.97919231582553,31.55171615863516,20.7,25.6,24.9088,13.87264,97.3,54.19,3.2809112157876537,3.2545826793370694,2.6995232833823994
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.2,36.55172413793104,7.15,57.65933200410635,32.44209645850884,30.2,36.1,19.2052,19.811680000000003,53.2,54.88,3.6136169696133895,3.0059399970214122,3.0355143675650864
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,8.3,41.55172413793104,8.37,58.4784743334071,31.30191116995717,28.4,59.7,33.13350000000001,13.49817,55.5,22.61,4.1059436980654525,3.530279306737877,2.6740224345652166
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.8,54.13793103448277,3.44,57.81189701168164,33.4514248853799,211.0,130.0,105.43,24.531,81.1,18.87,4.875197323201151,4.667487492052953,3.2398934000906703
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.8,90.6896551724138,3.83,57.08472612836648,34.20471651896248,34.3,204.0,70.992,111.20039999999999,34.8,54.51,5.3230099791384085,4.276555001731648,4.72028655814463
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.3,46.37931034482759,3.62,56.46459435984497,34.39313806354178,29.9,212.0,162.604,99.13119999999999,76.7,46.76,5.3612921657094255,5.097448873747504,4.6064813260681525
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,8.9,54.48275862068966,3.51,57.31575862076001,34.20471651896248,29.3,296.0,249.528,126.5992,84.3,42.77,5.6937321388027,5.523570690725504,4.848894101298559
