Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Urban soils,IVG,7.3,46.37931034482759,3.62,56.46459435984497,34.39313806354178,29.9,212.0,175.7268,137.0368,82.89,64.64,5.3612921657094255,5.174605037321317,4.927520316274635
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Mining/smelting soils,IVG,8.9,54.48275862068966,3.51,57.31575862076001,34.20471651896248,29.3,296.0,240.352,208.85760000000002,81.2,70.56,5.6937321388027,5.486256448792697,5.346429205468812
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Mining/smelting soils,PBET,2.8,11.03448275862069,13.1,57.91436613100141,30.78399233774303,134.3,3.0,2.9232,1.9074,97.44,63.58,1.3862943611198906,1.3669076473197006,1.0672592110100874
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Mining/smelting soils,PBET,7.8,21.72413793103448,13.4,58.39209357554218,30.44139069834734,104.1,9.59,5.036668000000001,2.446409,52.52,25.51,2.359910159613315,1.797852204099634,1.2373328193971354
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Agricultural soils,PBET,7.5,38.44827586206897,2.91,57.81708244584225,33.4514248853799,51.1,11.1,5.5832999999999995,2.8982099999999997,50.3,26.11,2.4932054526026954,1.8845361393750633,1.3605174734156553
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Agricultural soils,PBET,8.3,78.44827586206897,7.64,58.4784743334071,31.34461783662383,25.1,13.6,12.49704,6.49808,91.89,47.78,2.681021528714291,2.602470402144299,2.0146469877686712
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Mining/smelting soils,PBET,6.5,25.3448275862069,3.86,57.41474294962821,33.4514248853799,51.4,18.6,10.37136,5.92038,55.76,31.83,2.975529566236472,2.431097913626089,1.934470681416696
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Mining/smelting soils,PBET,6.1,43.27586206896552,9.66,57.97919231582553,31.55171615863516,20.7,25.6,20.52096,13.87264,80.16,54.19,3.2809112157876537,3.0690273439640294,2.6995232833823994
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Agricultural soils,PBET,7.2,36.55172413793104,7.15,57.65933200410635,32.44209645850884,30.2,36.1,30.45757,19.811680000000003,84.37,54.88,3.6136169696133895,3.4486396537060195,3.0355143675650864
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Agricultural soils,PBET,8.3,41.55172413793104,8.37,58.4784743334071,31.30191116995717,28.4,59.7,21.074099999999998,13.49817,35.3,22.61,4.1059436980654525,3.094404975556975,2.6740224345652166
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Urban soils,PBET,7.8,54.13793103448277,3.44,57.81189701168164,33.4514248853799,211.0,130.0,45.266000000000005,24.531,34.82,18.87,4.875197323201151,3.834407350078879,3.2398934000906703
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Industrial soils,PBET,7.8,90.6896551724138,3.83,57.08472612836648,34.20471651896248,34.3,204.0,172.2372,111.20039999999999,84.43,54.51,5.3230099791384085,5.154661753666746,4.72028655814463
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Urban soils,PBET,7.3,46.37931034482759,3.62,56.46459435984497,34.39313806354178,29.9,212.0,162.7312,99.13119999999999,76.76,46.76,5.3612921657094255,5.09822605876398,4.6064813260681525
19.0,Assessment of cadmium bioaccessibility to predict its bioavailability in contaminated soils,Mining/smelting soils,PBET,8.9,54.48275862068966,3.51,57.31575862076001,34.20471651896248,29.3,296.0,241.06239999999997,126.5992,81.44,42.77,5.6937321388027,5.489195544158438,4.848894101298559
20.0,Incorporating bioaccessibility into human health risk assessments of heavy metals in urban park soils(n=40),Urban soils,SBET,6.81,51.72413793103448,5.0,48.0,47.0,17.364,0.3,0.276,,92.0,,0.262364264467491,0.24373018492259815,
