Method,n,mean,median,std,q1,q3
SBET,2,85.225,85.225,9.581296885077721,81.8375,88.6125
UBM,35,61.94885714285714,70.59,25.506292507516488,41.150000000000006,79.935
IVG,15,64.78366666666666,69.51,25.187540178391686,56.275,82.045
SBRC,23,63.11173913043478,62.49,29.317404643313214,37.92,91.25999999999999
PBET,115,45.109762445443295,43.78,26.269936634955155,24.55,60.975
