Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP,Predicted_BA_GP,Observed_Bioaccessible_Cd_GP,Predicted_Bioaccessible_Cd_GP,Predicted_Risk_Group
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,4.88,2.413793103448276,28.3,65.4,6.3,93.3,12.9,4.31118,,33.42,,2.631888840136646,1.669814032788369,,32.71974976565109,4.31118,4.22084771976899,Medium
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,7.68,2.931034482758621,29.5,66.5,4.01,120.0,53.5,3.2742,,6.12,,3.9982007016691994,1.4525969503739538,,43.764037748970466,3.2742,23.4137601956992,High
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,6.91,58.62068965517242,4.51,39.6,55.9,119.0,62.1,16.9533,,27.3,,4.144720769547168,2.8877739420481907,,60.51952511975612,16.953300000000002,37.58262509936855,High
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,6.4,46.55172413793104,13.4,51.4,35.2,183.0,56.6,42.21794,,74.59,,4.053522567701846,3.766255686823891,,58.989733335445116,42.21794,33.38818906786194,High
12.0,"As, Cd, and Pb relative bioavailability in contaminated soils: Coupling mouse bioassay with UBM assay",Mining/smelting soils,UBM,7.33,5.344827586206897,26.8,65.2,8.04,126.0,31.4,8.792,,28.0,,3.478158422798284,2.2815657257699704,,37.232553593493854,8.792,11.691021828357071,Medium
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,2.8,11.03448275862069,13.1,57.91436613100141,30.78399233774303,134.3,3.0,2.754,1.9074,91.8,63.58,1.3862943611198906,1.3228219381643171,1.0672592110100874,60.44986015107276,2.7539999999999996,1.813495804532183,Medium
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.8,21.72413793103448,13.4,58.39209357554218,30.44139069834734,104.1,9.59,3.37568,2.446409,35.2,25.51,2.359910159613315,1.4760619363032377,1.2373328193971354,55.8313588475256,3.3756800000000005,5.354227313477705,Medium
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,7.5,38.44827586206897,2.91,57.81708244584225,33.4514248853799,51.1,11.1,5.8275,2.89821,52.5,26.11,2.4932054526026954,1.920958574365723,1.360517473415655,54.62229477896742,5.8275,6.063074720465384,Medium
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,8.3,78.44827586206897,7.64,58.4784743334071,31.34461783662383,25.1,13.6,11.4648,6.49808,84.3,47.78,2.681021528714291,2.522908671921008,2.0146469877686712,82.77280628115358,11.4648,11.257101654236886,Medium
13.0,Coupling in vitro assays with sequential extraction to investigate cadmium bioaccessibility in contaminated soils,Urban soils,PBET,6.5,25.3448275862069,3.86,57.41474294962821,33.4514248853799,51.4,18.6,14.9916,5.92038,80.6,31.83,2.975529566236472,2.772063584379028,1.934470681416696,53.841660425041205,14.9916,10.014548839057664,Medium
