mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,split20_train_score,split21_train_score,split22_train_score,split23_train_score,split24_train_score,mean_train_score,std_train_score
0.39619874954223633,0.0459033289601042,0.02181809425354004,0.008743208758910992,300,5,1.0,,"{'model__n_estimators': 300, 'model__min_samples_leaf': 5, 'model__max_features': 1.0, 'model__max_depth': None}",-21.642875983543153,-18.596320898160357,-15.478582247869568,-13.050002063885557,-16.785687922538038,-19.710328253562913,-15.188933738043405,-15.79871580210756,-13.910282186556323,-18.91678657581294,-10.618905586394904,-17.92313689186336,-17.624502919841653,-17.586407397480354,-21.502175083989428,-13.592636046876464,-17.012235088232835,-18.213837229589206,-16.393077957923094,-19.769135661400092,-17.509553316404933,-16.06924905909556,-18.363636082156816,-18.67765183520177,-15.072799655963571,-17.000298219379754,2.534286691789971,14,-10.511595592758013,-11.717945947808543,-11.946871946166318,-12.149972065996371,-11.26602074328183,-11.19064881639478,-11.636868793817642,-11.825771058381543,-11.892506530270971,-11.207392552083261,-12.07372566390246,-11.587154254405979,-11.5076680236046,-11.629403044756648,-10.558775657853385,-11.77022780351176,-11.575961330228935,-10.931732775234817,-11.58320040580135,-11.357273927144332,-11.474944327385982,-11.949681881247907,-11.068357804579938,-11.11411915213145,-11.71862171207667,-11.48985767243302,0.4201594544028917
0.2895397663116455,0.033249737877559325,0.013219518661499024,0.002055054406693709,200,3,1.0,10,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_features': 1.0, 'model__max_depth': 10}",-21.479874370922147,-17.284195677397236,-14.337294984777872,-12.276641855224993,-16.15877063026254,-19.575350928524784,-14.813747474692757,-15.158990379793478,-13.673285286312067,-17.88341979321524,-10.595580006437917,-17.40544972643453,-17.135613642724508,-17.53846620471345,-20.3488813580777,-13.078461428885909,-16.104709412867336,-17.79760136489322,-15.75187865544611,-19.188911818268366,-16.84693148089539,-15.867531458589616,-17.338609470230757,-18.495135572070478,-14.838850587451855,-16.43896734276441,2.4757544647443903,7,-8.64028858192861,-9.318737388189204,-9.696157396854785,-9.75998119694074,-9.067158402438793,-8.884063748763007,-9.49948969781717,-9.63044765105536,-9.481329181430931,-8.939864693178842,-9.686926234911288,-9.590314272442027,-9.136484077996734,-9.22784935927837,-8.358626779313278,-9.613118963280822,-9.317384594414804,-8.746038822097512,-9.470504934962696,-9.16489907037115,-9.208536982202524,-9.654784483749793,-9.103242506174658,-8.850922912535763,-9.159420384982369,-9.248262892692448,0.3619398221839566
0.24342491149902343,0.030459341940169714,0.014091854095458984,0.002313874929613322,200,5,0.7,5,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_features': 0.7, 'model__max_depth': 5}",-21.563943359182208,-19.141783545521882,-15.684559237564276,-13.374320436266613,-16.883290225925208,-19.510479881921626,-15.766415554635694,-16.354509433647614,-13.904998602405582,-19.507245032975213,-10.924273467974535,-17.990177654601705,-17.977821170766838,-18.091062295876633,-21.6988283415367,-13.586200860006814,-17.462342338867455,-18.67685149419692,-16.387534066566573,-20.104224908169464,-17.77063852518274,-15.57765996624248,-18.48144291410752,-18.914456419997073,-15.633431581709383,-17.23873965263395,2.5309548734612415,20,-11.288866487041135,-12.467145405905683,-13.031017429934161,-13.34693950462372,-12.416769356170951,-12.147986123414313,-12.693475350456811,-12.745766432327045,-13.059751152196773,-12.418678214043982,-13.321951333384227,-12.662404872821694,-12.618312918637349,-12.556020867213023,-11.32533746809707,-12.979543976926502,-12.348412703326199,-12.127676985602443,-12.511026560669716,-12.448796557933203,-12.661233426218294,-12.926127703886365,-11.731255849795051,-12.24464913081325,-12.933190515265782,-12.52049345306819,0.5118586980776711
1.0015575981140137,0.09425586663144675,0.04232489585876465,0.010442586061469509,800,5,1.0,10,"{'model__n_estimators': 800, 'model__min_samples_leaf': 5, 'model__max_features': 1.0, 'model__max_depth': 10}",-21.967696725596728,-18.588431026488863,-15.440655701208675,-12.78715836500946,-16.853125637878083,-19.528872380453933,-15.374008743137756,-15.964287460428366,-14.017662352758004,-18.890082870534307,-10.380597753139211,-17.755242822474397,-17.517768282522226,-17.5276642503608,-21.482439273057793,-13.777569796852193,-17.111155194856316,-18.429809372697015,-16.2243820405018,-19.879348976806167,-17.469291779071618,-16.111911378093165,-18.306248858977494,-18.71892683177507,-15.049229339694103,-17.00614268857494,2.575375142831723,15,-10.530183407552975,-11.6556967194087,-11.907264859473004,-12.16118373196048,-11.277079717759841,-11.133485647656824,-11.599883130209992,-11.78676495212738,-11.93277565522078,-11.284229991974897,-12.025369004850921,-11.537902418926473,-11.423550538445724,-11.596028998754898,-10.542455260336192,-11.775841947391177,-11.671347492420887,-11.02991962235683,-11.529208133313904,-11.32979011341631,-11.488282056160978,-11.878878813179321,-11.06185642967999,-11.166069955934326,-11.676562382809088,-11.480064439252876,0.4055595105092238
0.4627854347229004,0.03615548937954246,0.019692153930664064,0.004458411404545183,300,1,0.7,10,"{'model__n_estimators': 300, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': 10}",-21.169552478146674,-16.098274548525627,-14.18224109133185,-11.636206281872717,-16.189518008013668,-19.235252087813034,-14.46464360795287,-14.91392188282097,-13.025777972350081,-17.122560793817158,-10.258596585306996,-16.8606006788705,-16.591487657036026,-17.294257794134836,-19.89143998038124,-12.749902906552254,-15.48395407050754,-17.995474494016275,-14.925351417393546,-18.585530127235174,-16.36856604216741,-15.29568953818245,-16.983652988709416,-17.799063100422778,-15.142735166910244,-16.010570052018853,2.4683490659970273,5,-5.687914792095302,-6.180114771432592,-6.575871184181429,-6.62437791228906,-6.109727202746718,-5.926757671181421,-6.367522787706165,-6.473498259794201,-6.664507225059514,-5.978072401257594,-6.752460350622272,-6.474866438741702,-6.405896274873147,-6.271021858294875,-5.585650992938316,-6.468155349260518,-6.245069929732309,-5.814021719714607,-6.349794516103588,-6.124087679466322,-6.217018014882603,-6.559471170085812,-6.2458875625581305,-5.922785426425965,-6.296426824752859,-6.252839132647881,0.2992927317755184
0.4955461025238037,0.045610143210164905,0.018511962890625,0.0036334681428252477,300,1,1.0,20,"{'model__n_estimators': 300, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 20}",-20.87527022642207,-16.455529625781917,-13.921916161541509,-11.541778300831181,-16.070220815256846,-19.64258747997918,-14.126142842387507,-14.944053954897978,-13.026955794713277,-17.362104292286595,-10.133067342931417,-17.04271094986871,-16.841510364849636,-17.096068946680436,-20.055941768033442,-12.546827902411028,-15.641960727251558,-18.142427474354186,-14.945602898657276,-19.016571486931394,-16.543891933165277,-15.447668292829325,-16.998961378091295,-17.989791354652333,-14.809363566181533,-16.04875703523948,2.564391707747057,6,-5.498906636524339,-6.053543930187398,-6.387908703405863,-6.473850215758731,-5.855790445846124,-5.709109302178992,-6.199121272292025,-6.258169527602453,-6.377271559067057,-5.648084790659105,-6.390356054610988,-6.124431549981657,-6.099099250739725,-5.965956809724107,-5.3697078907915285,-6.21314459593354,-6.03748039065938,-5.4538438597264225,-6.209509058833827,-5.903085678450853,-5.887131007969371,-6.402579421816903,-6.001361306383164,-5.585695201183298,-6.043639798298208,-6.005951130345003,0.31169584787936877
0.8045143508911132,0.0570371064147816,0.04149381637573242,0.009244430100619332,800,5,sqrt,,"{'model__n_estimators': 800, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': None}",-21.31695350493323,-18.65552659716924,-16.288695139391606,-13.077825718215871,-17.162376535334243,-19.35984423240125,-15.818283150090101,-16.183032414537156,-15.023665429998918,-19.21501960615862,-11.693598959829327,-17.329621552536846,-17.91074820438124,-18.034536813842827,-21.52836528175611,-13.308474216075528,-17.51900775981787,-19.154173969052035,-16.377172268468705,-19.671295656388395,-16.95316481148305,-15.360245605129181,-18.85971568066539,-19.092871439530644,-15.94252626790218,-17.233469632603583,2.372813342258499,19,-12.155827515305846,-13.050813917383811,-13.234578032568983,-13.631455988100171,-13.12412595058468,-12.526875868499815,-13.002311049963453,-13.263309603330038,-13.672924518119364,-12.604506665109891,-13.968906834505944,-12.927232182714278,-12.884795129128914,-13.193237280146205,-12.023451410494644,-13.61754515259417,-13.231617972349762,-12.523008125122056,-13.011704775448708,-12.635596325195745,-13.018361771503809,-13.609657416942758,-12.573678503165299,-12.832595230405326,-13.176217845035156,-13.019773402548756,0.466204702626154
0.7065996646881103,0.0470384791516276,0.02809650421142578,0.006080440904246165,500,1,0.7,,"{'model__n_estimators': 500, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': None}",-21.08548232650576,-16.192021804608594,-13.82190297004525,-11.52280148864678,-16.195993577832592,-19.107308682691645,-14.413467963096103,-14.900891438615938,-13.090009659755726,-17.115095678320404,-10.148719673093625,-16.63179098386592,-16.33455939347101,-16.958100116580617,-20.060557313742002,-12.530119916104184,-15.309118382493939,-18.136822558495933,-14.730884730648837,-18.508927604246367,-16.08852849408369,-15.236776065640685,-16.65042417797589,-17.714155595244318,-15.189655536087349,-15.906964645275725,2.4928234614092624,2,-5.544781465498757,-5.982601932035915,-6.347726988354612,-6.405837135812766,-5.778939223252036,-5.665306692623127,-6.07625268378583,-6.18701585714755,-6.37208920396777,-5.573524832087686,-6.384881049217947,-5.949233492690249,-6.038466000563021,-5.914094432125429,-5.361476752572676,-6.120765573201464,-6.016854229102049,-5.488048659816644,-6.095898510594837,-5.942325013843892,-5.915961952418583,-6.2670624360982945,-5.889830796859717,-5.620253810378255,-6.04933055006845,-5.9595423709647015,0.2876221430485448
0.2960928249359131,0.025267654965079076,0.014444608688354493,0.0033351371243504953,200,1,0.7,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': None}",-20.651161555369345,-16.268162071558052,-14.06239396914481,-11.862478317102596,-16.01461586381807,-18.98670551780801,-14.488358231196203,-14.956728595295198,-12.994746259709704,-17.2512018434774,-10.349318871705595,-16.82816031265534,-16.726257300267797,-17.53863268304599,-19.88940569647887,-12.6090999500398,-15.100155307716738,-17.899613628978518,-14.928017331023204,-18.29932429687186,-15.818723102529972,-15.06624369893262,-16.47818459005706,-17.72077429297795,-15.18671360326096,-15.919007075640868,2.392091608547537,3,-5.577021181249732,-5.998990568910067,-6.341775172359411,-6.331793640449426,-5.7950412835048155,-5.644372341633825,-6.217723216604644,-6.3126476830675795,-6.363601162007973,-5.589973553893281,-6.292917167704419,-6.073856137949725,-6.132951210418852,-6.0126844591462145,-5.398344633062642,-6.379742714465299,-5.947812309240664,-5.528868282238151,-6.136927646988357,-6.068257264838627,-5.900918443620792,-6.356324860840124,-5.885919202701276,-5.635798428866781,-6.122215963037915,-6.001859141152024,0.29532644826335647
0.3342652034759521,0.03593225496833306,0.018108396530151366,0.004385524602663883,300,3,sqrt,,"{'model__n_estimators': 300, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': None}",-21.117142573086735,-17.91767137755618,-15.18415871160136,-12.548824152087057,-16.559107410082113,-19.093391780044872,-15.393851435854899,-15.398863772069353,-14.114775129385524,-18.038349305737732,-11.01650944768326,-17.130778542183474,-17.167343152235325,-17.446645679155484,-21.2697379201577,-12.680071404425314,-16.05046934104282,-18.860384908045003,-15.844562577552336,-18.959031898456733,-16.620109670905904,-14.639587963436458,-17.652913683915752,-18.64528289008116,-15.405752434446683,-16.59021268644917,2.4469837004727135,8,-10.089610067303765,-10.740395966597275,-11.163482714443896,-11.371660490438908,-10.981931891249468,-10.297627310973615,-10.931346935607342,-11.116805914991824,-11.30141692040891,-10.448592647445132,-11.572238613817825,-10.936343234231993,-10.501528477129932,-10.848525194080352,-9.820711568831568,-11.080949249788421,-10.977047141983768,-10.38329391229592,-10.866070016662446,-10.48191284405659,-10.704221248673411,-11.179961379173976,-10.537032015856438,-10.598614359046445,-10.782489202010874,-10.788552372684002,0.40300178760866073
