mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,split20_train_score,split21_train_score,split22_train_score,split23_train_score,split24_train_score,mean_train_score,std_train_score
0.23290445327758788,0.1223920745344411,0.00820148468017578,0.0016458438936017398,0.9,1.0,0.1,200,2,0.1,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",-21.218643556582222,-16.315129474604458,-14.31819329215819,-12.594080283751847,-18.878002948091737,-17.753413343140664,-14.94269698915027,-16.17578604104948,-13.916263365801228,-18.083157981374047,-10.537220374226447,-18.191657476327478,-16.1585372875244,-16.1953219719726,-20.806398420799425,-13.80725463045753,-15.681155103437176,-18.891652066344367,-15.168191126019924,-19.219344309373852,-16.429304468674918,-16.57224741115905,-16.947490030446446,-17.058263043092815,-16.176125125567733,-16.481421204845134,2.3820483408857256,16,-5.978514747064908,-6.375533937007486,-6.951819363152586,-6.686002523876483,-6.258040079697926,-5.790295403823069,-6.687521028221539,-6.733208248514052,-6.757009919234732,-6.1599936639228785,-7.17914362081047,-6.678368270802251,-6.209620901269281,-6.953732033866518,-5.612606985335361,-6.602117719941337,-6.428864608551788,-6.296364290538354,-6.700434304470137,-6.210000834347821,-6.619033817137015,-6.575948380344415,-6.700423811024004,-6.479719515173833,-6.241534641998761,-6.47463410600508,0.35904243030299793
0.11516316413879395,0.024794081512132027,0.01106121063232422,0.004519141367468489,1.0,0.5,1.0,300,3,0.1,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",-21.786795803559375,-17.569359022205457,-12.902190991494193,-13.659193338328517,-18.743071340594373,-17.78026754365183,-16.217612133217337,-17.304607673911573,-15.995041132781855,-16.701782647866157,-11.023417026216649,-19.154812133590987,-17.914499000158475,-17.10723127413196,-22.08383901642626,-12.965808757367165,-17.423784730865737,-18.190178848330003,-15.623841969590028,-19.83062048221256,-15.750336665031245,-17.410755056414686,-17.166910684341772,-18.653931317349283,-14.977875968254502,-16.95751058231568,2.5299179759025923,25,-1.8748430527353548,-1.9097445286924546,-2.3532479809305196,-2.1773248633359525,-1.946487380838205,-1.7629522999165044,-2.019138602351197,-2.244933417890519,-1.9662367331874058,-1.6541318643818077,-2.2400593570941285,-1.682980399889301,-1.7072323444683142,-2.4610215390093817,-1.5817571396906875,-1.8882843332389028,-1.9617976309372955,-1.833502802762193,-2.2862839893548106,-2.195704282318436,-1.9777540172758645,-2.2164277348734194,-2.2642726637975734,-1.8369424307849584,-1.9541278852777169,-1.999887571001316,0.23317935936716477
0.09818266868591309,0.02843297039542702,0.007558555603027344,0.001962949723477863,0.7,5.0,0.01,200,5,0.01,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 5, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",-22.02164573136121,-18.12399807956565,-16.822978600996077,-12.25441375188551,-17.3389176452369,-19.379523580663793,-15.038479367497574,-16.787293355304836,-15.469187953709252,-19.131404291635267,-11.5370475619447,-18.261295337077385,-17.673599746038516,-18.652939688510877,-20.67967238827071,-13.468635934876607,-16.964937047860293,-19.668448583967468,-15.484550809136447,-20.48138209455259,-17.464012000854908,-15.329044072335224,-18.35742485734753,-19.270266280696067,-16.63974683227935,-17.29203382374419,2.496074803204325,27,-10.990152019544604,-11.381163278668899,-12.048845696290597,-12.48757875011535,-11.690121485957782,-11.240669193568394,-11.781983036548061,-11.963253710883379,-12.259560691695132,-11.322017302580752,-12.658562464541342,-11.85273030055377,-11.469793564764547,-11.488083182116782,-10.531985423669488,-12.194613003746625,-11.644059460039534,-11.5326132548851,-11.860568573005791,-11.486174746009217,-11.588118733855765,-12.006354286815377,-11.564812414408415,-11.258418239954915,-11.71963813138718,-11.68087483782427,0.454009039805341
0.036555395126342774,0.009942609001298456,0.006757278442382813,0.0016909601266301586,0.9,5.0,0.0,100,3,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 5, 'model__reg_alpha': 0, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",-21.904831489449975,-17.72309087428515,-15.442334991296628,-12.939148038798491,-17.35690452307985,-18.152103245596848,-15.154302920482513,-16.10940221833231,-14.508158206298425,-19.06977930488632,-11.117834554067954,-17.645709106448017,-18.12695255172828,-17.924732604256665,-20.33339401294626,-12.63302214406336,-16.484619679756825,-19.55581677613826,-16.09240694927317,-20.164505303652607,-17.179528691560854,-15.39061001560144,-18.374378064664683,-18.558910832424964,-16.03268817804395,-16.95900661108535,2.4693285966331975,26,-11.018985130371645,-11.72840515579554,-12.152508382889526,-12.75336226534282,-11.527499249003245,-11.35896596252291,-11.993935370500314,-12.12355556603399,-12.768367293269678,-11.385178160233115,-13.120281727517737,-12.08175563602938,-11.878216891658404,-11.724387265489199,-10.421592475719624,-12.52196494296112,-11.727188206975729,-11.482752169093763,-11.801517585862527,-11.470726277650323,-11.904490640199617,-12.127997604188552,-11.479683014355892,-11.50930720696702,-12.06994123217389,-11.845302616512225,0.5644924888412078
0.045329923629760745,0.009100888836720035,0.008041305541992188,0.005310378296555035,0.9,2.0,0.1,200,2,0.03,1.0,"{'model__subsample': 0.9, 'model__reg_lambda': 2, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",-20.975830233410708,-16.484534586620033,-14.821323731113395,-13.107254694120114,-17.151955800642046,-18.0559773718304,-15.146619417482153,-15.34600224290699,-12.986281305445406,-18.627600799540932,-10.704113149711839,-17.457657370720597,-16.973626155261655,-17.229133911613648,-20.087506311279867,-13.404458180825802,-15.807035489388173,-18.58484120144408,-15.992718897618335,-19.51483600578177,-16.53954722898183,-16.151641365185117,-17.678734183920948,-17.2615863205456,-15.920677202810937,-16.480459726328096,2.293940146226461,15,-10.344983597382994,-11.20420406536148,-11.318743442608344,-11.630586212133435,-11.143938172924868,-10.718880310892732,-11.244199444574061,-11.6534895421572,-11.684913060080785,-10.600180873042659,-12.173114566543026,-11.263352244442272,-10.842898426174587,-11.095422914756341,-9.945176248780474,-11.68648381363447,-11.190926109233192,-10.701896578838717,-11.032684472793653,-10.559341173882544,-11.183523527224391,-11.251461117914236,-10.814505683252264,-10.909601933771189,-11.30559131230261,-11.100003953788102,0.47125578276927077
0.04172276496887207,0.006846127505964135,0.007808151245117187,0.003123686172109578,1.0,1.0,0.0,200,2,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1, 'model__reg_alpha': 0, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",-20.488081384646186,-16.111912433990383,-15.620346425751297,-13.33121167357054,-17.605417536016095,-17.777087488889407,-15.48933405644314,-16.248251328182743,-13.617917000982581,-18.674996869590203,-11.171206291167238,-17.60028569914435,-18.12338746616663,-17.72140653959473,-20.698934836631754,-13.508394022837903,-15.5072589603772,-19.025808779328152,-16.25514906810861,-20.005453105342962,-17.45263870783154,-15.685862614815694,-17.898931761146486,-17.98084467914963,-16.576598966180846,-16.80706870783545,2.2560322793308325,23,-10.974484107448172,-11.30688603596138,-11.40882321835068,-12.073855822921459,-11.291403849684286,-10.765620215528894,-11.799271180472063,-11.767667161187804,-11.881788540016792,-11.120199846024114,-12.71670628596963,-11.88734999874003,-11.030601946296917,-11.454507824140663,-10.238573298433376,-11.861721839080488,-11.417592126815736,-11.140268335041014,-11.400729139755011,-10.994932618600755,-11.92933434514367,-11.62705408851135,-11.053736226069983,-11.352830754270808,-11.25826450457781,-11.430168132361718,0.49067047750362275
0.11245444297790527,0.02455500860166873,0.007652912139892578,0.0037845657129628465,0.7,5.0,1.0,300,4,0.1,0.9,"{'model__subsample': 0.7, 'model__reg_lambda': 5, 'model__reg_alpha': 1, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",-21.765692677435045,-16.556422901921227,-13.235707612806468,-12.124083270258257,-17.680472170511884,-17.97343738878372,-14.575848812495257,-15.648496302017936,-13.718234409367291,-16.785009019052012,-10.988858842446218,-17.272978178729698,-16.48026650184132,-16.78490697105707,-23.03425453335931,-13.5996511588417,-16.272100724726887,-19.217613395152,-13.919515463958545,-18.718577767039548,-15.33940928702928,-16.322900065706488,-15.538019278533476,-17.969597315306213,-15.601506396340268,-16.284942417788685,2.6731213675956322,10,-1.184710171897061,-1.3840885183315859,-1.7135968024028823,-1.5854255677951439,-1.6227300300403096,-1.269962126093034,-1.634648253560375,-1.6753010726233033,-1.5487800574429826,-1.2236813828917223,-1.7359080327673924,-1.1707947857488907,-1.3944999412189838,-1.8037642289903975,-1.120937600332487,-1.2028284057516005,-1.5052867596723392,-1.2767096053376146,-1.6092812069177975,-1.5440052887204183,-1.2196415680555275,-1.6401503467739116,-1.8047273861226616,-1.3660787014560036,-1.351391712793708,-1.4635571821495252,0.21189165676448793
0.03335586547851563,0.010308703163238049,0.0073322105407714845,0.0020214547520213556,0.7,1.0,0.01,100,2,0.1,0.9,"{'model__subsample': 0.7, 'model__reg_lambda': 1, 'model__reg_alpha': 0.01, 'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",-21.11972160809911,-15.481629566157197,-14.845326532580577,-12.633361463280336,-17.81424509483471,-17.524495744416303,-14.598530113009877,-15.23270421727383,-13.844445515517062,-17.561879464853238,-10.557469967860804,-16.199044203911516,-16.60527118388028,-16.732192539896698,-21.525503342240757,-12.998565900558592,-15.154746455546226,-18.389944788544458,-14.447475893371575,-19.976421333733303,-16.761184721914603,-17.205147192436353,-17.602362582414674,-17.832355215414335,-15.992446947282438,-16.345458863561156,2.482958201718202,12,-8.663504950452097,-9.037194692151816,-9.59177182912592,-9.77193273312639,-8.961093210059047,-8.61421130434888,-9.183591346241254,-9.460414303879164,-9.453306924210503,-8.647326389908459,-9.913744712368862,-9.108225303231597,-9.00057567519727,-9.394181871162743,-7.8073091561961645,-9.1473832928908,-8.97110790441368,-8.59327941474655,-9.349157560187116,-8.697270586436074,-9.548027792375587,-8.98157766344084,-9.056730188325409,-9.086418174383018,-9.020015452365513,-9.082374097248989,0.43610903057379935
0.07157274246215821,0.01203182605688383,0.006959619522094726,0.001461182243082433,0.9,1.0,0.1,200,4,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",-21.11748422992849,-16.084729092010402,-13.370557988333298,-12.197947427081667,-17.696494202195552,-18.3202778989011,-14.904405499699719,-15.351254133390652,-13.629240152293637,-17.70447990134436,-10.013076544408339,-17.093658674543974,-16.508852650904068,-17.11504660403501,-19.780877748281764,-12.880579276181988,-15.716630051316368,-18.81392487903711,-15.00544252875379,-18.586682114469323,-15.575420009631115,-15.633594082614833,-16.355833165878643,-17.818556023416818,-15.906307015352695,-16.127254075760188,2.4295869213538297,4,-4.728636023325438,-4.986822016927267,-5.7302307645900274,-5.760349184782103,-5.519979224453248,-4.773089871113903,-5.5514094487782595,-5.738422843681313,-5.3252741919496485,-4.929314197167284,-5.815916956001198,-5.409689995525619,-4.991501729735098,-5.374018384750784,-4.3740245250825,-5.317139515414938,-5.319257966839956,-5.234955899542075,-5.154277810229125,-5.230032479862918,-5.136830560814181,-5.472649116816895,-5.43107278137698,-5.153315554870576,-5.057465715489276,-5.260627070364825,0.3419680894263207
0.052595205307006836,0.015594734633437206,0.008588781356811523,0.002799530443836152,0.8,2.0,1.0,200,2,0.05,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 2, 'model__reg_alpha': 1, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",-20.60197320505185,-16.50164577259737,-15.01424245035489,-12.636890757946826,-17.35220823321426,-18.148591957305317,-14.617957575135957,-14.854872452048776,-13.168140977864988,-18.12353423234141,-10.046875203352103,-16.806381904604745,-16.371470437713086,-16.551028543250418,-20.483682358354038,-13.076273326217967,-15.529764505742378,-18.611319330379242,-14.92220033168752,-19.377714313325075,-16.41073650301683,-16.670360441040575,-16.993411231650445,-17.57399224456023,-15.540774814890758,-16.239441724145884,2.3963386959580126,8,-8.883093352648078,-9.248334222276013,-9.731076469544524,-9.992868430431741,-9.286458598500742,-8.778014786035472,-9.492490679714344,-9.59509905252876,-9.856208033604778,-9.03117288846202,-10.132296500315109,-9.446073816852524,-9.217610889101755,-9.508757829797752,-8.106374252449006,-9.76441467954229,-9.371218694254766,-9.055869029396225,-9.566171480756422,-8.767630645663136,-9.777071608152946,-9.572920279594966,-9.482339022705599,-9.377918730224563,-9.113670786016584,-9.366206190342805,0.4341022423395275
