Type,n,mean,median,std,q1,q3
Urban soils,27,66.42833333333334,76.7,22.668129567234324,53.8,83.67
Mining/smelting soils,79,52.85317694055791,54.55000000000001,25.376373799174573,33.86,71.43
Industrial soils,41,46.674187876144025,42.81,29.347703114250884,26.470588235294112,74.89
Agricultural soils,43,48.06976744186046,38.35,30.687300032390635,23.195,74.515
